region_name,region,round_str,rnd,indx,top_from,bottom_from,top_seed,bottom_seed
South,0,round_of_64,64,0,,,1,16
South,0,round_of_64,64,1,,,8,9
South,0,round_of_64,64,2,,,5,12
South,0,round_of_64,64,3,,,4,13
South,0,round_of_64,64,4,,,6,11
South,0,round_of_64,64,5,,,3,14
South,0,round_of_64,64,6,,,7,10
South,0,round_of_64,64,7,,,2,15
East,1,round_of_64,64,0,,,1,16
East,1,round_of_64,64,1,,,8,9
East,1,round_of_64,64,2,,,5,12
East,1,round_of_64,64,3,,,4,13
East,1,round_of_64,64,4,,,6,11
East,1,round_of_64,64,5,,,3,14
East,1,round_of_64,64,6,,,7,10
East,1,round_of_64,64,7,,,2,15
Midwest,2,round_of_64,64,0,,,1,16
Midwest,2,round_of_64,64,1,,,8,9
Midwest,2,round_of_64,64,2,,,5,12
Midwest,2,round_of_64,64,3,,,4,13
Midwest,2,round_of_64,64,4,,,6,11
Midwest,2,round_of_64,64,5,,,3,14
Midwest,2,round_of_64,64,6,,,7,10
Midwest,2,round_of_64,64,7,,,2,15
West,3,round_of_64,64,0,,,1,16
West,3,round_of_64,64,1,,,8,9
West,3,round_of_64,64,2,,,5,12
West,3,round_of_64,64,3,,,4,13
West,3,round_of_64,64,4,,,6,11
West,3,round_of_64,64,5,,,3,14
West,3,round_of_64,64,6,,,7,10
West,3,round_of_64,64,7,,,2,15
South,0,round_of_32,32,0,1,2,,
South,0,round_of_32,32,1,3,4,,
South,0,round_of_32,32,2,5,6,,
South,0,round_of_32,32,3,7,8,,
East,1,round_of_32,32,0,9,10,,
East,1,round_of_32,32,1,11,12,,
East,1,round_of_32,32,2,13,14,,
East,1,round_of_32,32,3,15,16,,
Midwest,2,round_of_32,32,0,17,18,,
Midwest,2,round_of_32,32,1,19,20,,
Midwest,2,round_of_32,32,2,21,22,,
Midwest,2,round_of_32,32,3,23,24,,
West,3,round_of_32,32,0,25,26,,
West,3,round_of_32,32,1,27,28,,
West,3,round_of_32,32,2,29,30,,
West,3,round_of_32,32,3,31,32,,
South,0,sweet_sixteen,16,0,33,34,,
South,0,sweet_sixteen,16,1,35,36,,
East,1,sweet_sixteen,16,0,37,38,,
East,1,sweet_sixteen,16,1,39,40,,
Midwest,2,sweet_sixteen,16,0,41,42,,
Midwest,2,sweet_sixteen,16,1,43,44,,
West,3,sweet_sixteen,16,0,45,46,,
West,3,sweet_sixteen,16,1,47,48,,
South,0,elite_eight,8,0,49,50,,
East,1,elite_eight,8,0,51,52,,
Midwest,2,elite_eight,8,0,53,54,,
West,3,elite_eight,8,0,55,56,,
Final Four,4,Semifinal,4,0,57,58,,
Final Four,4,Semifinal,4,1,59,60,,
Final Four,4,Final,2,0,61,62,,
